Obs,Domain,Indicator,Measures,Data Breakdowns,Disaggregation,nObs,Percent,CI_low_95,CI_Upper_95,CV,CV_Interpretation,Label_,Source,Notes,Population,Measure,Definition,Data Source,Data Available,Population2,Estimate Calculation,Additional Remarks
1,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Sex,Total population,11375,34.1,33.4,34.8,1.1,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by sex, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
2,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Sex,Females,5779,31.7,30.7,32.6,1.5,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by sex, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
3,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Sex,Males,5596,36.7,35.6,37.7,1.5,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by sex, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
4,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Age group,Total population,11375,34.1,33.4,34.8,1.1,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
5,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Age group,15-24,1032,24.6,22.5,26.6,4.2,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
6,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Age group,25-34,1299,32.1,30.1,34.2,3.3,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
7,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Age group,35-44,1866,38.6,36.7,40.5,2.4,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
8,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Age group,45-54,2297,40.9,39.1,42.7,2.3,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
9,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Age group,55-64,2649,40.8,39.1,42.4,2,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
10,Outcomes,Childhood maltreatment,"Percentage (%) of the population aged 15+ who, before age 15, experienced physical or sexual abuse and/or exposure to violence by an adult (18+)",Age group,65-74,1628,34,32.2,35.8,2.7,3,Percentage (%),General Social Survey 2014,,"aged 15+ years, by age group, Canada, 2014","Percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","Estimated percentage (%) of the population aged 15+ who report experiencing, before age 15, any of these three types of childhood violence: physical or sexual abuse by an adult and/or exposure to violence by parents or guardians","General Social Survey (GSS) - Victimization (2014), Statistics Canada","Sex, 10-year age group, 5-level highest education attained, Household income quartile, Province, Population centre/rural area, Immigration status, Indigenous status, Ethnicity",Population aged 15 years and older (all provinces),"Numerator (weighted estimate): Number of people aged 15 years and older who, before age 15, experienced physical or sexual abuse by someone 18+, and/or exposure to violence by parents/guardians Denominator: Total population, aged 15 years and older",
