Indicator Parent,Indicator Breakdown,Secondary Breakdown Name,Secondary Breakdown,Location,Value
Age Group,Less than 25 years,None,None,Canada,6.8
Age Group,Less than 25 years,Gender lived,CisF,Canada,8.9
Age Group,Less than 25 years,Gender lived,CisM,Canada,5.5
Age Group,Less than 25 years,Gender lived,TFEM,Canada,8.3
Age Group,Less than 25 years,Gender lived,TMAS,Canada,29.4
Age Group,Less than 25 years,None,None,"Whitehorse, YK",6.1
Age Group,Less than 25 years,None,None,"Central and Northern Vancouver Island, BC",12.3
Age Group,Less than 25 years,None,None,"Prince Albert, SK",2.2
Age Group,Less than 25 years,None,None,"Regina, SK",4.4
Age Group,Less than 25 years,None,None,"Winnipeg, MN",10.6
Age Group,Less than 25 years,None,None,"Thunder Bay, ON",10.5
Age Group,Less than 25 years,None,None,"London, ON",5.8
Age Group,Less than 25 years,None,None,"Hamilton, ON",2.5
Age Group,Less than 25 years,None,None,"Ottawa, ON and the region of Outaouais, QC",3.5
Age Group,Less than 25 years,None,None,"Montréal and the urban sites in the region of Montérégie, QC",5
Age Group,Less than 25 years,None,None,"Québec City, QC",8
Age Group,Less than 25 years,None,None,Semi-urban sites in the province of Quebec,2.4
Age Group,Less than 25 years,None,None,New Brunswick,5
Age Group,Less than 25 years,None,None,Newfoundland,20
Age Group,Less than 25 years,Gender lived,CisM,"Whitehorse, YK",12.5
Age Group,Less than 25 years,Gender lived,CisF,"Central and Northern Vancouver Island, BC",11.7
Age Group,Less than 25 years,Gender lived,CisM,"Central and Northern Vancouver Island, BC",11.9
Age Group,Less than 25 years,Gender lived,TMAS,"Central and Northern Vancouver Island, BC",100
Age Group,Less than 25 years,Gender lived,CisF,"Prince Albert, SK",3.7
Age Group,Less than 25 years,Gender lived,CisM,"Prince Albert, SK",1.1
Age Group,Less than 25 years,Gender lived,CisF,"Regina, SK",5.1
Age Group,Less than 25 years,Gender lived,CisM,"Regina, SK",2.5
Age Group,Less than 25 years,Gender lived,TFEM,"Regina, SK",33.3
Age Group,Less than 25 years,Gender lived,TMAS,"Regina, SK",33.3
Age Group,Less than 25 years,Gender lived,CisF,"Winnipeg, MN",17.1
Age Group,Less than 25 years,Gender lived,CisM,"Winnipeg, MN",4.2
Age Group,Less than 25 years,Gender lived,TFEM,"Winnipeg, MN",25
Age Group,Less than 25 years,Gender lived,TMAS,"Winnipeg, MN",20
Age Group,Less than 25 years,Gender lived,CisF,"Thunder Bay, ON",12.2
Age Group,Less than 25 years,Gender lived,CisM,"Thunder Bay, ON",9.3
Age Group,Less than 25 years,Gender lived,CisF,"London, ON",7.1
Age Group,Less than 25 years,Gender lived,CisM,"London, ON",5.6
Age Group,Less than 25 years,Gender lived,CisF,"Hamilton, ON",2.2
Age Group,Less than 25 years,Gender lived,CisM,"Hamilton, ON",1.9
Age Group,Less than 25 years,Gender lived,TMAS,"Hamilton, ON",50
Age Group,Less than 25 years,Gender lived,CisF,"Ottawa, ON and the region of Outaouais, QC",1.4
Age Group,Less than 25 years,Gender lived,CisM,"Ottawa, ON and the region of Outaouais, QC",4.7
