Activity,Indicator Group,Life Course,Indicator,Specific Measure,Data Breakdowns,Strata,CV,Data,CI_low_95,CI_Upper_95,CV_Interpretation,CV Range Lower,CV Range Upper,Feature Data,Population 1,Unit Label Long,Data Source 1,Notes,PT Table Label,Unit Label 2,Data Source 2,Specific Measure 2,Defintion,Data Source 3,Data Available,Population 2,Estimate Calculation,Additional Remarks,Include_DT,Other DT Display
Physical Activity,Individual,Adults (18+ years),Physical activity guideline adherence,"Percentage (%) of adults who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more",Sex,Total population,11.2,17.5,13.2,21.9,3,16.6,33.3,1,"aged 18-79 years, by sex, Canada, 2014-2015",Percentage (%),Canadian Health Measures Survey 2014-2015,"Current Canadian Physical Activity Guidelines call for adults are to accumulate at least 150 minutes of moderate-to-vigorous physical activity per week, obtained in bouts of 10 minutes or more.",,%,CHMS (2014-2015),"% of adults aged 18 to 79 years who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more","To achieve health benefits, the Canadian Physical Activity Guidelines for Adults (http://csepguidelines.ca/adults-18-64/) and the Canadian Physical Activity Guidelines for Older Adults (http://csepguidelines.ca/adults-65/) call for 150 minutes of moderate-to-vigorous intensity physical activity (MVPA) each week, obtained in bouts of 10 minutes or more for adults 18 to 64 years and older adults aged 65 years and older. This indicator uses accelerometer data to estimate the proportion of the Canadian adult population meeting this guideline.","Canadian Health Measures Survey (CHMS), Statistics Canada","Sex, age group (5 year, life course), highest level of education (household, respondent), household income adequacy, immigrant status, time since immigration (≥ 5 year, ≥ 10 year), and trend (age-standardized)",Population aged 18 to 79 years,"Numerator: Number of adults aged 18 to 79 who obtained at least 150 minutes of moderate-to-vigorous intensity physical activity per week accumulated in 10-minute bouts. Denominator: Total population, aged 18 to 79 years. Data from accelerometers was used in the analysis of this indicator, specifically the Statistics Canada derived variable AMMDPWA.","Physical activity can be measured both through objective methods, such as wearing an accelerometer or pedometer, and through self-reported information collected on a survey. Both methods have strengths and weaknesses. Historically, self-reported information on leisure time physical activity has been used to track the physical activity levels of adults in Canada. However, the inclusion of more sophisticated accelerometer technology on population health surveys, such as the CHMS, now allows for measurement of adherence in the same units as the guidelines.",Y,
Physical Activity,Individual,Adults (18+ years),Physical activity guideline adherence,"Percentage (%) of adults who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more",Sex,Females,12.4,17,12.3,21.6,3,16.6,33.3,,"aged 18-79 years, by sex, Canada, 2014-2015",Percentage (%),Canadian Health Measures Survey 2014-2015,"Current Canadian Physical Activity Guidelines call for adults are to accumulate at least 150 minutes of moderate-to-vigorous physical activity per week, obtained in bouts of 10 minutes or more.",,%,CHMS (2014-2015),"% of adults aged 18 to 79 years who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more","To achieve health benefits, the Canadian Physical Activity Guidelines for Adults (http://csepguidelines.ca/adults-18-64/) and the Canadian Physical Activity Guidelines for Older Adults (http://csepguidelines.ca/adults-65/) call for 150 minutes of moderate-to-vigorous intensity physical activity (MVPA) each week, obtained in bouts of 10 minutes or more for adults 18 to 64 years and older adults aged 65 years and older. This indicator uses accelerometer data to estimate the proportion of the Canadian adult population meeting this guideline.","Canadian Health Measures Survey (CHMS), Statistics Canada","Sex, age group (5 year, life course), highest level of education (household, respondent), household income adequacy, immigrant status, time since immigration (≥ 5 year, ≥ 10 year), and trend (age-standardized)",Population aged 18 to 79 years,"Numerator: Number of adults aged 18 to 79 who obtained at least 150 minutes of moderate-to-vigorous intensity physical activity per week accumulated in 10-minute bouts. Denominator: Total population, aged 18 to 79 years. Data from accelerometers was used in the analysis of this indicator, specifically the Statistics Canada derived variable AMMDPWA.","Physical activity can be measured both through objective methods, such as wearing an accelerometer or pedometer, and through self-reported information collected on a survey. Both methods have strengths and weaknesses. Historically, self-reported information on leisure time physical activity has been used to track the physical activity levels of adults in Canada. However, the inclusion of more sophisticated accelerometer technology on population health surveys, such as the CHMS, now allows for measurement of adherence in the same units as the guidelines.",Y,
Physical Activity,Individual,Adults (18+ years),Physical activity guideline adherence,"Percentage (%) of adults who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more",Sex,Males,17.6,18.1,11.1,25.1,2,16.6,33.3,,"aged 18-79 years, by sex, Canada, 2014-2015",Percentage (%),Canadian Health Measures Survey 2014-2015,"Current Canadian Physical Activity Guidelines call for adults are to accumulate at least 150 minutes of moderate-to-vigorous physical activity per week, obtained in bouts of 10 minutes or more.",,%,CHMS (2014-2015),"% of adults aged 18 to 79 years who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more","To achieve health benefits, the Canadian Physical Activity Guidelines for Adults (http://csepguidelines.ca/adults-18-64/) and the Canadian Physical Activity Guidelines for Older Adults (http://csepguidelines.ca/adults-65/) call for 150 minutes of moderate-to-vigorous intensity physical activity (MVPA) each week, obtained in bouts of 10 minutes or more for adults 18 to 64 years and older adults aged 65 years and older. This indicator uses accelerometer data to estimate the proportion of the Canadian adult population meeting this guideline.","Canadian Health Measures Survey (CHMS), Statistics Canada","Sex, age group (5 year, life course), highest level of education (household, respondent), household income adequacy, immigrant status, time since immigration (≥ 5 year, ≥ 10 year), and trend (age-standardized)",Population aged 18 to 79 years,"Numerator: Number of adults aged 18 to 79 who obtained at least 150 minutes of moderate-to-vigorous intensity physical activity per week accumulated in 10-minute bouts. Denominator: Total population, aged 18 to 79 years. Data from accelerometers was used in the analysis of this indicator, specifically the Statistics Canada derived variable AMMDPWA.","Physical activity can be measured both through objective methods, such as wearing an accelerometer or pedometer, and through self-reported information collected on a survey. Both methods have strengths and weaknesses. Historically, self-reported information on leisure time physical activity has been used to track the physical activity levels of adults in Canada. However, the inclusion of more sophisticated accelerometer technology on population health surveys, such as the CHMS, now allows for measurement of adherence in the same units as the guidelines.",Y,
Physical Activity,Individual,Adults (18+ years),Physical activity guideline adherence,"Percentage (%) of adults who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more",Age group — 5 year,Total population,11.2,17.5,13.2,21.9,3,16.6,33.3,1,"aged 18-79 years, by age group (5 year), Canada, 2014-2015",Percentage (%),Canadian Health Measures Survey 2014-2015,"Current Canadian Physical Activity Guidelines call for adults are to accumulate at least 150 minutes of moderate-to-vigorous physical activity per week, obtained in bouts of 10 minutes or more.",,%,CHMS (2014-2015),"% of adults aged 18 to 79 years who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more","To achieve health benefits, the Canadian Physical Activity Guidelines for Adults (http://csepguidelines.ca/adults-18-64/) and the Canadian Physical Activity Guidelines for Older Adults (http://csepguidelines.ca/adults-65/) call for 150 minutes of moderate-to-vigorous intensity physical activity (MVPA) each week, obtained in bouts of 10 minutes or more for adults 18 to 64 years and older adults aged 65 years and older. This indicator uses accelerometer data to estimate the proportion of the Canadian adult population meeting this guideline.","Canadian Health Measures Survey (CHMS), Statistics Canada","Sex, age group (5 year, life course), highest level of education (household, respondent), household income adequacy, immigrant status, time since immigration (≥ 5 year, ≥ 10 year), and trend (age-standardized)",Population aged 18 to 79 years,"Numerator: Number of adults aged 18 to 79 who obtained at least 150 minutes of moderate-to-vigorous intensity physical activity per week accumulated in 10-minute bouts. Denominator: Total population, aged 18 to 79 years. Data from accelerometers was used in the analysis of this indicator, specifically the Statistics Canada derived variable AMMDPWA.","Physical activity can be measured both through objective methods, such as wearing an accelerometer or pedometer, and through self-reported information collected on a survey. Both methods have strengths and weaknesses. Historically, self-reported information on leisure time physical activity has been used to track the physical activity levels of adults in Canada. However, the inclusion of more sophisticated accelerometer technology on population health surveys, such as the CHMS, now allows for measurement of adherence in the same units as the guidelines.",Y,
Physical Activity,Individual,Adults (18+ years),Physical activity guideline adherence,"Percentage (%) of adults who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more",Age group — 5 year,18-24,26.1,29.4,12.5,46.3,2,16.6,33.3,,"aged 18-79 years, by age group (5 year), Canada, 2014-2015",Percentage (%),Canadian Health Measures Survey 2014-2015,"Current Canadian Physical Activity Guidelines call for adults are to accumulate at least 150 minutes of moderate-to-vigorous physical activity per week, obtained in bouts of 10 minutes or more.",,%,CHMS (2014-2015),"% of adults aged 18 to 79 years who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more","To achieve health benefits, the Canadian Physical Activity Guidelines for Adults (http://csepguidelines.ca/adults-18-64/) and the Canadian Physical Activity Guidelines for Older Adults (http://csepguidelines.ca/adults-65/) call for 150 minutes of moderate-to-vigorous intensity physical activity (MVPA) each week, obtained in bouts of 10 minutes or more for adults 18 to 64 years and older adults aged 65 years and older. This indicator uses accelerometer data to estimate the proportion of the Canadian adult population meeting this guideline.","Canadian Health Measures Survey (CHMS), Statistics Canada","Sex, age group (5 year, life course), highest level of education (household, respondent), household income adequacy, immigrant status, time since immigration (≥ 5 year, ≥ 10 year), and trend (age-standardized)",Population aged 18 to 79 years,"Numerator: Number of adults aged 18 to 79 who obtained at least 150 minutes of moderate-to-vigorous intensity physical activity per week accumulated in 10-minute bouts. Denominator: Total population, aged 18 to 79 years. Data from accelerometers was used in the analysis of this indicator, specifically the Statistics Canada derived variable AMMDPWA.","Physical activity can be measured both through objective methods, such as wearing an accelerometer or pedometer, and through self-reported information collected on a survey. Both methods have strengths and weaknesses. Historically, self-reported information on leisure time physical activity has been used to track the physical activity levels of adults in Canada. However, the inclusion of more sophisticated accelerometer technology on population health surveys, such as the CHMS, now allows for measurement of adherence in the same units as the guidelines.",Y,
Physical Activity,Individual,Adults (18+ years),Physical activity guideline adherence,"Percentage (%) of adults who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more",Age group — 5 year,25-29,28.2,29.8,11.3,48.3,2,16.6,33.3,,"aged 18-79 years, by age group (5 year), Canada, 2014-2015",Percentage (%),Canadian Health Measures Survey 2014-2015,"Current Canadian Physical Activity Guidelines call for adults are to accumulate at least 150 minutes of moderate-to-vigorous physical activity per week, obtained in bouts of 10 minutes or more.",,%,CHMS (2014-2015),"% of adults aged 18 to 79 years who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more","To achieve health benefits, the Canadian Physical Activity Guidelines for Adults (http://csepguidelines.ca/adults-18-64/) and the Canadian Physical Activity Guidelines for Older Adults (http://csepguidelines.ca/adults-65/) call for 150 minutes of moderate-to-vigorous intensity physical activity (MVPA) each week, obtained in bouts of 10 minutes or more for adults 18 to 64 years and older adults aged 65 years and older. This indicator uses accelerometer data to estimate the proportion of the Canadian adult population meeting this guideline.","Canadian Health Measures Survey (CHMS), Statistics Canada","Sex, age group (5 year, life course), highest level of education (household, respondent), household income adequacy, immigrant status, time since immigration (≥ 5 year, ≥ 10 year), and trend (age-standardized)",Population aged 18 to 79 years,"Numerator: Number of adults aged 18 to 79 who obtained at least 150 minutes of moderate-to-vigorous intensity physical activity per week accumulated in 10-minute bouts. Denominator: Total population, aged 18 to 79 years. Data from accelerometers was used in the analysis of this indicator, specifically the Statistics Canada derived variable AMMDPWA.","Physical activity can be measured both through objective methods, such as wearing an accelerometer or pedometer, and through self-reported information collected on a survey. Both methods have strengths and weaknesses. Historically, self-reported information on leisure time physical activity has been used to track the physical activity levels of adults in Canada. However, the inclusion of more sophisticated accelerometer technology on population health surveys, such as the CHMS, now allows for measurement of adherence in the same units as the guidelines.",Y,
Physical Activity,Individual,Adults (18+ years),Physical activity guideline adherence,"Percentage (%) of adults who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more",Age group — 5 year,30-34,45.4,,,,1,16.6,33.3,,"aged 18-79 years, by age group (5 year), Canada, 2014-2015",Percentage (%),Canadian Health Measures Survey 2014-2015,"Current Canadian Physical Activity Guidelines call for adults are to accumulate at least 150 minutes of moderate-to-vigorous physical activity per week, obtained in bouts of 10 minutes or more.",,%,CHMS (2014-2015),"% of adults aged 18 to 79 years who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more","To achieve health benefits, the Canadian Physical Activity Guidelines for Adults (http://csepguidelines.ca/adults-18-64/) and the Canadian Physical Activity Guidelines for Older Adults (http://csepguidelines.ca/adults-65/) call for 150 minutes of moderate-to-vigorous intensity physical activity (MVPA) each week, obtained in bouts of 10 minutes or more for adults 18 to 64 years and older adults aged 65 years and older. This indicator uses accelerometer data to estimate the proportion of the Canadian adult population meeting this guideline.","Canadian Health Measures Survey (CHMS), Statistics Canada","Sex, age group (5 year, life course), highest level of education (household, respondent), household income adequacy, immigrant status, time since immigration (≥ 5 year, ≥ 10 year), and trend (age-standardized)",Population aged 18 to 79 years,"Numerator: Number of adults aged 18 to 79 who obtained at least 150 minutes of moderate-to-vigorous intensity physical activity per week accumulated in 10-minute bouts. Denominator: Total population, aged 18 to 79 years. Data from accelerometers was used in the analysis of this indicator, specifically the Statistics Canada derived variable AMMDPWA.","Physical activity can be measured both through objective methods, such as wearing an accelerometer or pedometer, and through self-reported information collected on a survey. Both methods have strengths and weaknesses. Historically, self-reported information on leisure time physical activity has been used to track the physical activity levels of adults in Canada. However, the inclusion of more sophisticated accelerometer technology on population health surveys, such as the CHMS, now allows for measurement of adherence in the same units as the guidelines.",Y,
Physical Activity,Individual,Adults (18+ years),Physical activity guideline adherence,"Percentage (%) of adults who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more",Age group — 5 year,35-39,38.8,,,,1,16.6,33.3,,"aged 18-79 years, by age group (5 year), Canada, 2014-2015",Percentage (%),Canadian Health Measures Survey 2014-2015,"Current Canadian Physical Activity Guidelines call for adults are to accumulate at least 150 minutes of moderate-to-vigorous physical activity per week, obtained in bouts of 10 minutes or more.",,%,CHMS (2014-2015),"% of adults aged 18 to 79 years who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more","To achieve health benefits, the Canadian Physical Activity Guidelines for Adults (http://csepguidelines.ca/adults-18-64/) and the Canadian Physical Activity Guidelines for Older Adults (http://csepguidelines.ca/adults-65/) call for 150 minutes of moderate-to-vigorous intensity physical activity (MVPA) each week, obtained in bouts of 10 minutes or more for adults 18 to 64 years and older adults aged 65 years and older. This indicator uses accelerometer data to estimate the proportion of the Canadian adult population meeting this guideline.","Canadian Health Measures Survey (CHMS), Statistics Canada","Sex, age group (5 year, life course), highest level of education (household, respondent), household income adequacy, immigrant status, time since immigration (≥ 5 year, ≥ 10 year), and trend (age-standardized)",Population aged 18 to 79 years,"Numerator: Number of adults aged 18 to 79 who obtained at least 150 minutes of moderate-to-vigorous intensity physical activity per week accumulated in 10-minute bouts. Denominator: Total population, aged 18 to 79 years. Data from accelerometers was used in the analysis of this indicator, specifically the Statistics Canada derived variable AMMDPWA.","Physical activity can be measured both through objective methods, such as wearing an accelerometer or pedometer, and through self-reported information collected on a survey. Both methods have strengths and weaknesses. Historically, self-reported information on leisure time physical activity has been used to track the physical activity levels of adults in Canada. However, the inclusion of more sophisticated accelerometer technology on population health surveys, such as the CHMS, now allows for measurement of adherence in the same units as the guidelines.",Y,
Physical Activity,Individual,Adults (18+ years),Physical activity guideline adherence,"Percentage (%) of adults who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more",Age group — 5 year,40-44,32.5,17.1,4.9,29.3,2,16.6,33.3,,"aged 18-79 years, by age group (5 year), Canada, 2014-2015",Percentage (%),Canadian Health Measures Survey 2014-2015,"Current Canadian Physical Activity Guidelines call for adults are to accumulate at least 150 minutes of moderate-to-vigorous physical activity per week, obtained in bouts of 10 minutes or more.",,%,CHMS (2014-2015),"% of adults aged 18 to 79 years who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more","To achieve health benefits, the Canadian Physical Activity Guidelines for Adults (http://csepguidelines.ca/adults-18-64/) and the Canadian Physical Activity Guidelines for Older Adults (http://csepguidelines.ca/adults-65/) call for 150 minutes of moderate-to-vigorous intensity physical activity (MVPA) each week, obtained in bouts of 10 minutes or more for adults 18 to 64 years and older adults aged 65 years and older. This indicator uses accelerometer data to estimate the proportion of the Canadian adult population meeting this guideline.","Canadian Health Measures Survey (CHMS), Statistics Canada","Sex, age group (5 year, life course), highest level of education (household, respondent), household income adequacy, immigrant status, time since immigration (≥ 5 year, ≥ 10 year), and trend (age-standardized)",Population aged 18 to 79 years,"Numerator: Number of adults aged 18 to 79 who obtained at least 150 minutes of moderate-to-vigorous intensity physical activity per week accumulated in 10-minute bouts. Denominator: Total population, aged 18 to 79 years. Data from accelerometers was used in the analysis of this indicator, specifically the Statistics Canada derived variable AMMDPWA.","Physical activity can be measured both through objective methods, such as wearing an accelerometer or pedometer, and through self-reported information collected on a survey. Both methods have strengths and weaknesses. Historically, self-reported information on leisure time physical activity has been used to track the physical activity levels of adults in Canada. However, the inclusion of more sophisticated accelerometer technology on population health surveys, such as the CHMS, now allows for measurement of adherence in the same units as the guidelines.",Y,
Physical Activity,Individual,Adults (18+ years),Physical activity guideline adherence,"Percentage (%) of adults who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more",Age group — 5 year,45-49,31.4,14.5,4.5,24.5,2,16.6,33.3,,"aged 18-79 years, by age group (5 year), Canada, 2014-2015",Percentage (%),Canadian Health Measures Survey 2014-2015,"Current Canadian Physical Activity Guidelines call for adults are to accumulate at least 150 minutes of moderate-to-vigorous physical activity per week, obtained in bouts of 10 minutes or more.",,%,CHMS (2014-2015),"% of adults aged 18 to 79 years who meet physical activity guidelines by accumulating at least 150 minutes of moderate-to-vigorous physical activity each week, in bouts of 10 minutes or more","To achieve health benefits, the Canadian Physical Activity Guidelines for Adults (http://csepguidelines.ca/adults-18-64/) and the Canadian Physical Activity Guidelines for Older Adults (http://csepguidelines.ca/adults-65/) call for 150 minutes of moderate-to-vigorous intensity physical activity (MVPA) each week, obtained in bouts of 10 minutes or more for adults 18 to 64 years and older adults aged 65 years and older. This indicator uses accelerometer data to estimate the proportion of the Canadian adult population meeting this guideline.","Canadian Health Measures Survey (CHMS), Statistics Canada","Sex, age group (5 year, life course), highest level of education (household, respondent), household income adequacy, immigrant status, time since immigration (≥ 5 year, ≥ 10 year), and trend (age-standardized)",Population aged 18 to 79 years,"Numerator: Number of adults aged 18 to 79 who obtained at least 150 minutes of moderate-to-vigorous intensity physical activity per week accumulated in 10-minute bouts. Denominator: Total population, aged 18 to 79 years. Data from accelerometers was used in the analysis of this indicator, specifically the Statistics Canada derived variable AMMDPWA.","Physical activity can be measured both through objective methods, such as wearing an accelerometer or pedometer, and through self-reported information collected on a survey. Both methods have strengths and weaknesses. Historically, self-reported information on leisure time physical activity has been used to track the physical activity levels of adults in Canada. However, the inclusion of more sophisticated accelerometer technology on population health surveys, such as the CHMS, now allows for measurement of adherence in the same units as the guidelines.",Y,
